YEAR,Chinook,Coho,Pink,Chum,Sockeye,Total
1910,0,0,0,0,0,42.539
1911,0,0,0,0,0,50.062
1912,0,0,0,0,0,55.386
1913,0,0,0,0,0,68.463
1914,0,0,0,0,0,62.13
1915,0,0,0,0,0,62.114
1916,0,0,0,0,0,72.644
1917,0,0,0,0,0,54.269
1918,0,0,0,0,0,67.744
1919,0,0,0,0,0,75.675
1920,0,0,0,0,0,57.282
1921,0,0,0,0,0,38.194
1922,0,0,0,0,0,68.451
1923,0,0,0,0,0,68.708
1924,0,0,0,0,0,89.138
1925,0,0,0,0,0,84.975
1926,0,0,0,0,0,96.414
1927,0,0,0,0,0,67.603
1928,0,0,0,0,0,102.397
1929,0,0,0,0,0,68.676
1930,0,0,0,0,0,104.154
1931,0,0,0,0,0,58.379
1932,0,0,0,0,0,58.581
1933,0,0,0,0,0,63.979
1934,0,0,0,0,0,75.292
1935,0,0,0,0,0,81.167
1936,0,0,0,0,0,90.514
1937,0,0,0,0,0,76.736
1938,0,0,0,0,0,78.683
1939,0,0,0,0,0,66.967
1940,0,0,0,0,0,64.95
1941,0,0,0,0,0,86.198
1942,0,0,0,0,0,73.572
1943,0,0,0,0,0,55.076
1944,0,0,0,0,0,48.794
1945,0,0,0,0,0,77.548
1946,0,0,0,0,0,67.892
1947,0,0,0,0,0,73.845
1948,0,0,0,0,0,65.847
1949,0,0,0,0,0,66.845
1950,0,0,0,0,0,83.778
1951,5.8514,15.9666,27.3065,28.7993,13.5172,0
1952,6.53633,10.0653,23.2605,14.4561,14.0025,0
1953,7.10787,10.5053,28.0051,24.687,16.0288,0
1954,6.11902,9.38492,11.6847,33.7476,21.3281,0
1955,5.68357,10.6822,28.7127,8.24639,7.55239,0
1956,6.21428,11.408,13.1407,12.4422,9.75098,0
1957,5.738,10.3329,25.9866,12.3551,7.13508,0
1958,6.44561,11.2038,15.3815,17.2866,33.6206,0
1959,6.1281,8.87689,15.894,10.4826,8.19196,0
1960,4.68112,6.45469,7.70661,9.21709,7.02168,0
1961,4.12456,11.217,22.7071,6.62705,12.0748,0
1962,4.11231,12.0702,42.4531,8.18924,9.11957,0
1963,4.61081,11.5581,27.4775,6.99673,5.38556,0
1964,6.06369,14.3591,16.6765,10.8555,10.4105,0
1965,5.74662,16.6375,10.4023,3.01914,7.3578,0
1966,6.95137,17.5456,33.3253,6.96816,11.6597,0
1967,6.96498,10.2141,23.4251,5.50758,16.8157,0
1968,6.91146,15.1415,25.22,16.5608,18.7744,0
1969,6.45196,7.99147,6.272,6.077,10.949,0
1970,6.56536,13.6492,24.022,16.77,11.424,0
1971,8.70181,14.0924,17.63,5.419,17.329,0
1972,8.35208,10.533,18.141,30.192,9.517,0
1973,7.55647,11.2501,13.306,32.762,21.526,0
1974,7.63676,10.3783,11.207,12.479,21.694,0
1975,7.2893,7.73655,10.239,5.389,5.681,0
1976,7.77556,9.32187,17.056,10.922,12.339,0
1977,7.522,9.85666,24.723,6.032,17.388,0
1978,7.887,9.152,15.331,15.855,22.321,0
1979,6.845,10.342,24.696,4.751,14.532,0
1980,6.54,9.025,13.718,16.809,7.727,0
1981,5.916,7.514,38.253,6.157,21,0
1982,7.092,9.297,3.977,15.091,30.143,0
1983,5.378,10.461,39.539,4.899,14.326,0
1984,6.254,10.089,12.058,9.003,12.877,0
1985,5.47,8.977,37.701,23.646,31.568,0
1986,5.007,13.238,29.505,25.197,30.833,0
1987,5.249,8.415,26.921,11,15.035,0
1988,5.922,7.077,32.217,30.297,11.943,0
1989,5.235,8.752,31.004,9.322,34.383,0
1990,5.228,10.569,26.24,17.181,37.134,0
1991,5.058,10.053,35.096,10.236,25.211,0
1992,5.336,7.328,14.913,17.964,20.938,0
1993,4.817,4.316,16.046,17.274,42.529,0
1994,3.574,7.713,3.383,20.323,30.828,0
1995,3.574,4.866,19.767,12.115,10.533,0
1996,0.456071,3.877694,8.620452,6.560264,15.653676,0
1997,1.6619,0.751238,12.242337,8.686141,25.358079,0
1998,1.401454,0.024879,3.921058,19.912954,5.169957,0
1999,0.767744,0.026822,9.536518,4.996532,1.813403,0
2000,0.521095,0.033752,7.220603,2.848225,8.871133,0
2001,0.666497,0.053273,10.97163,5.8499,7.187239,0
2002,1.690649,0.470792,8.609264,12.350826,10.146964,0
2003,2.199314,0.807785,15.455846,13.730787,6.356763,0
2004,2.465494,1.187282,3.578293,14.301897,4.461143,0
2005,2.019961,1.136868,12.638189,11.323051,0.996036,0
2006,2.052293,0.557345,1.431279,9.90462,10.342896,0
2007,1.425337,0.817353,11.203484,4.864421,1.924259,0
2008,0.961755,0.379087,0.353489,1.735465,1.95889,0
2009,0.938087,0.761491,13.439757,2.706924,0.661584,0
2010,1.157943,0.597811,1.272725,0.541728,19.997292,0
2011,1.524625,1.133544,9.117062,5.805227,3.092591,0
2012,0.940842,0.693155,1.231248,4.050286,2.07365,0